Timestamp,Depth_X,Depth_Y,Depth_Value(mm),World_X(m),World_Y(m),World_Z(m),Converted_Depth_X,Converted_Depth_Y,Converted_Depth_Value,Color_X,Color_Y
1649378902.1677177,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.1994298,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.231773,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.2699764,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.3025162,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.334852,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.3674426,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.3997557,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.438065,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.4705994,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.5030313,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.5354195,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.5678754,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.606107,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.63897,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.6711001,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.7034152,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.7416494,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.7742374,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.806674,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.8390808,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.8716204,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.9099433,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.9422524,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378902.9746976,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.007324,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.0396843,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.0779984,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.1104052,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.1428668,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.1752923,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.213547,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.2459311,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.2785673,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.3109496,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.3432662,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.3816025,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.4141278,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.4465892,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.4789433,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.5114157,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.54978,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.5821974,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.614553,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.6470625,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.6796303,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.7177825,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.7502358,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.7827222,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.8151138,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.8533463,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.885793,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.9183428,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.9508343,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378903.983105,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.021451,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.0539894,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.0863519,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.1188006,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.1513572,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.1896102,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.2222803,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.2543447,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.2869887,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.3252068,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.357594,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.390086,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.4226718,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.45502,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.4932647,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.5256162,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.5581944,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.5906422,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.623127,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.6613474,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.6938794,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.7262433,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.758647,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.7913115,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.829534,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.8618903,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.8943233,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.9268677,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.9650342,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378904.99751,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.029945,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.06245,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.0948756,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.1331246,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.1655388,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.1980405,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.231472,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.2651842,320,240,481,0.0,0.0,481.0,320.0,240.0,481.0,0,0
1649378905.303242,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.3358507,320,240,501,0.0,0.0,501.0,320.0,240.0,501.0,0,0
1649378905.368189,320,240,517,0.0,0.0,517.0,320.0,240.0,517.0,0,0
1649378905.4004009,320,240,522,0.0,0.0,522.0,320.0,240.0,522.0,0,0
1649378905.4385872,320,240,0,0.0,0.0,0.0,nan,nan,0.0,0,0
1649378905.4710655,320,240,9851,0.0,0.0,9851.0,320.0,240.0,9851.0,0,0
1649378905.5034416,320,240,9576,0.0,0.0,9576.0,320.0,240.0,9576.0,0,0
1649378905.5360634,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378905.568414,320,240,8612,0.0,0.0,8612.0,320.0,240.0,8612.0,0,0
1649378905.606696,320,240,8400,0.0,0.0,8400.0,320.0,240.0,8400.0,0,0
1649378905.639046,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378905.6714408,320,240,8007,0.0,0.0,8007.0,320.0,240.0,8007.0,0,0
1649378905.7039943,320,240,7824,0.0,0.0,7824.0,320.0,240.0,7824.0,0,0
1649378905.736416,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378905.7746983,320,240,7482,0.0,0.0,7482.0,320.0,240.0,7482.0,0,0
1649378905.8070905,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378905.8396063,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378905.871915,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378905.910121,320,240,7824,0.0,0.0,7824.0,320.0,240.0,7824.0,0,0
1649378905.9425416,320,240,7824,0.0,0.0,7824.0,320.0,240.0,7824.0,0,0
1649378905.9751394,320,240,7824,0.0,0.0,7824.0,320.0,240.0,7824.0,0,0
1649378906.0075908,320,240,8007,0.0,0.0,8007.0,320.0,240.0,8007.0,0,0
1649378906.0399141,320,240,8007,0.0,0.0,8007.0,320.0,240.0,8007.0,0,0
1649378906.0783012,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.1106715,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.1431913,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.175551,320,240,7824,0.0,0.0,7824.0,320.0,240.0,7824.0,0,0
1649378906.2080233,320,240,8007,0.0,0.0,8007.0,320.0,240.0,8007.0,0,0
1649378906.2463787,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.2787588,320,240,8007,0.0,0.0,8007.0,320.0,240.0,8007.0,0,0
1649378906.3111727,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378906.3436992,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378906.3761723,320,240,7482,0.0,0.0,7482.0,320.0,240.0,7482.0,0,0
1649378906.4144025,320,240,7649,0.0,0.0,7649.0,320.0,240.0,7649.0,0,0
1649378906.4468622,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.4792986,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.511672,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.5500162,320,240,8199,0.0,0.0,8199.0,320.0,240.0,8199.0,0,0
1649378906.5824285,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378906.6149514,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378906.6473906,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378906.6796901,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378906.7180662,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.7506673,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.7829747,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.8154373,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.8480182,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.8862529,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378906.918584,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.951053,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378906.983562,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.021861,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.054323,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.0866344,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.119261,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.1516302,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.1899958,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.2223363,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.2549205,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.2873132,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.3200054,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.35817,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.3905518,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.4229264,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.4553802,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.4879355,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.5261881,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.558593,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.5910623,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.623502,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.6617463,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.694168,320,240,9315,0.0,0.0,9315.0,320.0,240.0,9315.0,0,0
1649378907.726548,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.7590964,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.7914267,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.8297575,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.8622103,320,240,9068,0.0,0.0,9068.0,320.0,240.0,9068.0,0,0
1649378907.8945887,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378907.9270852,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378907.959592,320,240,8612,0.0,0.0,8612.0,320.0,240.0,8612.0,0,0
1649378907.9977987,320,240,8612,0.0,0.0,8612.0,320.0,240.0,8612.0,0,0
1649378908.0305567,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.062598,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.095065,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.1332943,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.165927,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.198322,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.23073,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
1649378908.2633054,320,240,8612,0.0,0.0,8612.0,320.0,240.0,8612.0,0,0
1649378908.3015819,320,240,8834,0.0,0.0,8834.0,320.0,240.0,8834.0,0,0
